requested_amount,purpose,credit_score,credit_utilization,payment_history_percent,derogatory_marks,hard_inquiries,total_accounts,oldest_account_years,annual_income,employment_length_months,debt_to_income,monthly_debt_payments,target
1169.0,radio/tv,825,0.1568,0.9821,0,1,5,7.7,61793.55,137,0.0989,509.04,good
5951.0,radio/tv,492,0.5357,0.6512,1,3,5,3.2,31939.45,18,0.5079,1351.88,bad
2096.0,education,832,0.0775,0.9519,0,0,2,6.4,26605.44,59,0.2215,491.15,good
7882.0,furniture/equipment,688,0.2812,0.8351,2,1,2,8.0,45513.68,64,0.3109,1179.2,good
4870.0,new car,391,0.647,0.5541,1,4,6,6.1,37282.35,19,0.519,1612.33,bad
9055.0,education,693,0.2372,0.8063,0,0,5,7.7,23551.81,19,0.2087,409.52,good
2835.0,furniture/equipment,793,0.1605,0.9055,0,0,2,9.1,54360.01,130,0.1433,649.33,good
6948.0,used car,660,0.2519,0.7615,0,3,6,2.3,67699.18,29,0.2847,1606.25,good
3059.0,radio/tv,797,0.0616,0.9794,0,0,4,10.7,33501.59,57,0.1451,405.17,good
5234.0,new car,444,0.6912,0.6293,1,1,6,3.0,55167.23,0,0.5203,2391.97,bad
1295.0,new car,430,0.7362,0.6226,4,2,2,1.4,30765.4,0,0.5151,1320.53,bad
4308.0,business,327,0.7793,0.4828,4,0,3,5.2,31983.17,0,0.5356,1427.62,bad
1567.0,radio/tv,750,0.232,0.8694,1,0,8,3.2,37351.86,22,0.2413,751.06,good
1199.0,new car,638,0.4091,0.8061,2,1,4,9.4,27267.66,115,0.3571,811.41,bad
1403.0,new car,463,0.6284,0.5972,0,1,3,6.7,25661.33,4,0.4868,1041.07,good
1282.0,radio/tv,545,0.409,0.7357,0,0,4,4.1,20770.39,29,0.3784,655.04,bad
2424.0,radio/tv,820,0.1156,0.9571,0,0,4,9.0,66628.6,146,0.1083,601.36,good
8072.0,business,385,0.6754,0.5064,0,1,7,4.1,21822.78,0,0.5382,978.71,good
12579.0,used car,496,0.473,0.6067,1,2,2,2.2,71682.2,132,0.4368,2609.48,bad
3430.0,radio/tv,775,0.1655,0.9595,0,0,2,3.9,39550.92,132,0.154,507.56,good
2134.0,new car,767,0.1756,0.95,0,0,8,8.4,60773.77,40,0.1992,1008.94,good
2647.0,radio/tv,723,0.3164,0.8251,0,1,9,5.6,45311.84,36,0.2111,796.92,good
2241.0,new car,718,0.1957,0.916,0,0,5,4.4,31079.8,0,0.1799,465.86,good
1804.0,used car,810,0.1856,0.9421,1,0,6,8.7,42460.41,13,0.1058,374.32,good
2069.0,furniture/equipment,811,0.145,0.9699,0,0,4,0.5,39860.37,20,0.1557,517.2,good
1374.0,furniture/equipment,725,0.1943,0.8965,1,1,3,5.2,24972.83,7,0.283,589.0,good
426.0,radio/tv,763,0.2781,0.9118,2,0,2,8.8,27264.64,124,0.2035,462.43,good
409.0,radio/tv,757,0.2329,0.8899,0,0,5,6.5,50503.86,17,0.2598,1093.54,good
2415.0,radio/tv,785,0.1137,0.9062,1,0,5,6.9,40932.0,12,0.2307,786.99,good
6836.0,business,461,0.7323,0.5798,3,3,7,7.4,45287.38,120,0.5052,1906.44,bad
1913.0,business,730,0.2342,0.8467,1,2,2,7.0,28844.69,0,0.2534,609.13,good
4020.0,furniture/equipment,500,0.5605,0.6551,4,1,5,2.0,23331.57,10,0.3313,644.05,good
5866.0,new car,591,0.3552,0.7949,0,1,6,2.4,32310.19,11,0.3888,1046.96,good
1264.0,business,807,0.1248,0.9548,0,1,6,8.5,33678.31,147,0.1566,439.48,good
1474.0,furniture/equipment,650,0.4634,0.7582,2,1,2,0.5,54880.46,0,0.3493,1597.69,good
4746.0,radio/tv,532,0.4624,0.7172,4,2,6,4.5,16158.37,0,0.4935,664.46,bad
6110.0,education,673,0.3383,0.7938,2,0,3,5.4,40908.84,20,0.276,940.84,good
2100.0,radio/tv,660,0.2629,0.7757,2,1,6,3.9,29775.85,19,0.2409,597.83,bad
1225.0,domestic appliance,786,0.1771,0.9488,0,0,7,5.8,40544.02,39,0.1715,579.38,good
458.0,radio/tv,707,0.2554,0.8939,0,1,3,5.2,43276.56,5,0.2633,949.66,good
2333.0,radio/tv,721,0.2392,0.8543,1,1,3,4.6,77495.52,132,0.1535,991.06,good
1158.0,radio/tv,704,0.2662,0.8388,2,1,2,1.4,38802.07,24,0.34,1099.35,good
6204.0,repairs,659,0.3081,0.8399,2,1,3,8.1,20526.95,34,0.3183,544.48,good
6187.0,used car,772,0.0914,0.9002,3,1,8,10.5,26770.47,52,0.2006,447.45,good
6143.0,used car,459,0.6241,0.6386,3,4,5,5.6,28856.05,105,0.4649,1117.97,bad
1393.0,new car,732,0.2827,0.8267,0,0,6,8.5,67051.75,5,0.2025,1131.69,good
2299.0,radio/tv,761,0.1244,0.9546,1,1,4,8.2,36813.04,134,0.1699,521.08,good
1352.0,used car,790,0.2681,0.9422,0,0,2,4.8,12000.0,0,0.119,118.98,good
7228.0,new car,775,0.245,0.9186,0,0,4,7.5,25399.64,37,0.25,529.24,good
2073.0,radio/tv,747,0.1581,0.8947,0,1,4,0.9,43879.76,28,0.1371,501.17,good
2333.0,furniture/equipment,632,0.3729,0.8157,1,2,3,4.9,17228.47,0,0.2567,368.54,good
5965.0,used car,760,0.1568,0.9564,1,0,4,1.3,64923.71,123,0.2202,1191.39,good
1262.0,radio/tv,746,0.1374,0.9062,0,0,2,4.1,45369.86,20,0.1278,483.36,good
3378.0,used car,813,0.1243,0.9652,0,0,3,1.9,34521.08,17,0.1505,433.03,good
2225.0,new car,448,0.6537,0.5516,2,2,5,5.3,44990.23,115,0.5037,1888.54,bad
783.0,new car,824,0.1252,0.9627,0,0,2,1.6,23347.16,38,0.1381,268.7,good
6468.0,radio/tv,744,0.2339,0.9092,1,1,4,4.3,104022.57,6,0.1194,1035.21,bad
9566.0,radio/tv,629,0.376,0.8109,0,1,4,3.8,26131.4,22,0.3425,745.76,good
1961.0,new car,572,0.5323,0.7789,3,0,3,3.1,47473.04,121,0.3204,1267.35,good
6229.0,furniture/equipment,345,0.7846,0.5228,5,4,5,7.4,12551.89,0,0.6759,707.03,bad
1391.0,business,648,0.3866,0.8249,3,1,4,0.5,38311.68,20,0.3003,958.74,good
1537.0,radio/tv,834,0.0713,0.9352,0,0,5,6.2,37987.63,132,0.1415,447.96,good
1953.0,business,561,0.3455,0.742,2,3,2,9.5,72849.7,135,0.3897,2365.72,bad
14421.0,business,378,0.7471,0.5231,4,3,3,2.3,30540.57,0,0.6442,1639.63,bad
3181.0,radio/tv,712,0.2784,0.7983,1,0,2,7.6,33015.42,0,0.2191,602.94,good
5190.0,repairs,714,0.2706,0.8728,1,0,10,8.4,51725.38,117,0.2086,899.04,good
2171.0,radio/tv,706,0.3001,0.8802,1,1,3,3.9,36735.97,10,0.1848,565.65,good
1007.0,new car,662,0.2375,0.8333,1,1,3,1.1,26449.44,24,0.2466,543.52,good
1819.0,education,555,0.4828,0.7341,2,2,3,7.0,32447.46,20,0.3477,940.26,bad
2394.0,radio/tv,738,0.1998,0.9482,1,0,2,8.9,44983.33,39,0.2016,755.65,good
